※ 매월 말일자 통계 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73
,,2025년01월,,,,,,2025년02월,,,,,,2025년03월,,,,,,2025년04월,,,,,,2025년05월,,,,,,2025년06월,,,,,,2025년07월,,,,,,2025년08월,,,,,,2025년09월,,,,,,2025년10월,,,,,,2025년11월,,,,,,2025년12월,,,,,
행정기관코드,행정기관,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율,총 거주자수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1154500000,서울특별시 금천구 ,"223,581","119,932",          1.86,"112,221","111,360",          1.01,"223,083","119,978",          1.86,"111,910","111,173",          1.01,"223,101","120,075",          1.86,"111,848","111,253",          1.01,"223,120","120,207",          1.86,"111,850","111,270",          1.01,"222,985","120,269",          1.85,"111,827","111,158",          1.01,"222,792","120,326",          1.85,"111,704","111,088",          1.01,"222,499","120,308",          1.85,"111,605","110,894",          1.01,"222,332","120,287",          1.85,"111,569","110,763",          1.01,"222,342","120,427",          1.85,"111,568","110,774",          1.01,"222,349","120,559",          1.84,"111,535","110,814",          1.01,"222,302","120,616",          1.84,"111,476","110,826",          1.01,"222,111","120,620",          1.84,"111,416","110,695",          1.01
1156000000,서울특별시 영등포구 ,"370,295","189,960",          1.95,"180,950","189,345",          0.96,"370,088","190,231",          1.95,"180,824","189,264",          0.96,"370,092","190,404",          1.94,"180,845","189,247",          0.96,"370,038","190,499",          1.94,"180,721","189,317",          0.95,"369,941","190,560",          1.94,"180,614","189,327",          0.95,"369,929","190,620",          1.94,"180,520","189,409",          0.95,"369,771","190,600",          1.94,"180,418","189,353",          0.95,"369,630","190,639",          1.94,"180,242","189,388",          0.95,"369,362","190,564",          1.94,"180,161","189,201",          0.95,"369,028","190,457",          1.94,"180,023","189,005",          0.95,"368,649","190,227",          1.94,"179,743","188,906",          0.95,"368,367","190,197",          1.94,"179,586","188,781",          0.95
1159000000,서울특별시 동작구 ,"372,843","185,069",          2.01,"180,071","192,772",          0.93,"373,033","185,702",          2.01,"180,091","192,942",          0.93,"372,956","185,996",          2.01,"179,993","192,963",          0.93,"372,578","185,844",          2.00,"179,799","192,779",          0.93,"372,288","185,804",          2.00,"179,578","192,710",          0.93,"372,221","185,899",          2.00,"179,514","192,707",          0.93,"371,656","185,756",          2.00,"179,312","192,344",          0.93,"371,361","185,717",          2.00,"179,201","192,160",          0.93,"370,882","185,618",          2.00,"178,897","191,985",          0.93,"370,618","185,517",          2.00,"178,785","191,833",          0.93,"370,179","185,322",          2.00,"178,619","191,560",          0.93,"369,510","185,198",          2.00,"178,281","191,229",          0.93
1162000000,서울특별시 관악구 ,"474,542","283,518",          1.67,"238,656","235,886",          1.01,"475,299","284,857",          1.67,"239,006","236,293",          1.01,"475,666","285,366",          1.67,"239,087","236,579",          1.01,"475,781","285,546",          1.67,"239,146","236,635",          1.01,"475,784","285,619",          1.67,"239,083","236,701",          1.01,"475,938","285,984",          1.66,"239,158","236,780",          1.01,"475,920","286,126",          1.66,"239,229","236,691",          1.01,"475,742","286,226",          1.66,"239,165","236,577",          1.01,"475,490","286,291",          1.66,"239,018","236,472",          1.01,"474,982","286,091",          1.66,"238,765","236,217",          1.01,"474,472","285,939",          1.66,"238,499","235,973",          1.01,"474,281","286,098",          1.66,"238,327","235,954",          1.01
1165000000,서울특별시 서초구 ,"404,080","168,029",          2.40,"192,054","212,026",          0.91,"404,005","168,114",          2.40,"191,952","212,053",          0.91,"403,740","168,156",          2.40,"191,768","211,972",          0.90,"403,561","168,133",          2.40,"191,687","211,874",          0.90,"403,335","168,101",          2.40,"191,593","211,742",          0.90,"403,331","168,164",          2.40,"191,574","211,757",          0.90,"405,213","168,996",          2.40,"192,526","212,687",          0.91,"407,207","169,910",          2.40,"193,476","213,731",          0.91,"408,310","170,301",          2.40,"193,919","214,391",          0.90,"409,057","170,526",          2.40,"194,302","214,755",          0.90,"409,356","170,618",          2.40,"194,471","214,885",          0.91,"410,350","170,976",          2.40,"194,953","215,397",          0.91
1168000000,서울특별시 강남구 ,"549,846","239,861",          2.29,"262,604","287,242",          0.91,"550,281","240,005",          2.29,"262,819","287,462",          0.91,"550,080","240,064",          2.29,"262,712","287,368",          0.91,"549,600","239,917",          2.29,"262,424","287,176",          0.91,"549,290","239,890",          2.29,"262,331","286,959",          0.91,"549,353","240,014",          2.29,"262,413","286,940",          0.91,"549,226","240,075",          2.29,"262,284","286,942",          0.91,"549,259","240,392",          2.28,"262,347","286,912",          0.91,"549,209","240,465",          2.28,"262,338","286,871",          0.91,"549,334","240,425",          2.28,"262,391","286,943",          0.91,"549,150","240,327",          2.29,"262,327","286,823",          0.91,"549,287","240,319",          2.29,"262,285","287,002",          0.91
1171000000,서울특별시 송파구 ,"644,637","283,859",          2.27,"308,977","335,660",          0.92,"644,019","283,915",          2.27,"308,635","335,384",          0.92,"643,502","283,999",          2.27,"308,310","335,192",          0.92,"643,033","284,003",          2.26,"308,030","335,003",          0.92,"642,429","283,869",          2.26,"307,660","334,769",          0.92,"642,261","284,031",          2.26,"307,556","334,705",          0.92,"641,936","283,957",          2.26,"307,379","334,557",          0.92,"641,653","283,969",          2.26,"307,210","334,443",          0.92,"641,461","284,019",          2.26,"307,129","334,332",          0.92,"640,819","283,767",          2.26,"306,837","333,982",          0.92,"639,815","283,382",          2.26,"306,206","333,609",          0.92,"639,205","283,153",          2.26,"305,872","333,333",          0.92
1174000000,서울특별시 강동구 ,"481,459","213,301",          2.26,"234,956","246,503",          0.95,"489,161","216,319",          2.26,"238,724","250,437",          0.95,"492,424","217,926",          2.26,"240,209","252,215",          0.95,"493,497","218,572",          2.26,"240,644","252,853",          0.95,"494,367","219,055",          2.26,"241,039","253,328",          0.95,"495,269","219,593",          2.26,"241,471","253,798",          0.95,"495,911","219,931",          2.25,"241,763","254,148",          0.95,"496,326","220,192",          2.25,"241,888","254,438",          0.95,"496,474","220,364",          2.25,"241,874","254,600",          0.95,"496,521","220,462",          2.25,"241,916","254,605",          0.95,"496,439","220,435",          2.25,"241,859","254,580",          0.95,"496,362","220,614",          2.25,"241,747","254,615",          0.95
2600000000,부산광역시  ,"3,250,065","1,558,874",          2.08,"1,580,800","1,669,265",          0.95,"3,248,587","1,562,278",          2.08,"1,579,843","1,668,744",          0.95,"3,245,527","1,562,706",          2.08,"1,578,120","1,667,407",          0.95,"3,242,753","1,562,536",          2.08,"1,576,603","1,666,150",          0.95,"3,240,874","1,562,611",          2.07,"1,575,562","1,665,312",          0.95,"3,239,309","1,562,957",          2.07,"1,574,735","1,664,574",          0.95,"3,238,239","1,563,340",          2.07,"1,574,043","1,664,196",          0.95,"3,236,711","1,563,990",          2.07,"1,573,125","1,663,586",          0.95,"3,235,149","1,564,547",          2.07,"1,572,269","1,662,880",          0.95,"3,233,188","1,564,110",          2.07,"1,571,102","1,662,086",          0.95,"3,230,288","1,563,670",          2.07,"1,569,475","1,660,813",          0.95,"3,228,238","1,563,672",          2.06,"1,568,363","1,659,875",          0.94
2611000000,부산광역시 중구 ,"37,170","23,264",          1.60,"18,049","19,121",          0.94,"37,081","23,297",          1.59,"17,976","19,105",          0.94,"36,999","23,284",          1.59,"17,930","19,069",          0.94,"36,902","23,260",          1.59,"17,879","19,023",          0.94,"36,794","23,187",          1.59,"17,809","18,985",          0.94,"36,709","23,171",          1.58,"17,777","18,932",          0.94,"36,648","23,158",          1.58,"17,742","18,906",          0.94,"36,545","23,143",          1.58,"17,678","18,867",          0.94,"36,451","23,124",          1.58,"17,648","18,803",          0.94,"36,366","23,086",          1.58,"17,591","18,775",          0.94,"36,276","23,021",          1.58,"17,536","18,740",          0.94,"36,223","23,019",          1.57,"17,509","18,714",          0.94
