"행정구역","2026년07월_거주자_총인구수","2026년07월_거주자_연령구간인구수","2026년07월_거주자_0~9세","2026년07월_거주자_10~19세","2026년07월_거주자_20~29세","2026년07월_거주자_30~39세","2026년07월_거주자_40~49세","2026년07월_거주자_50~59세","2026년07월_거주자_60~69세","2026년07월_거주자_70~79세","2026년07월_거주자_80~89세","2026년07월_거주자_90~99세","2026년07월_거주자_100세 이상","2026년07월_남_거주자_총인구수","2026년07월_남_거주자_연령구간인구수","2026년07월_남_거주자_0~9세","2026년07월_남_거주자_10~19세","2026년07월_남_거주자_20~29세","2026년07월_남_거주자_30~39세","2026년07월_남_거주자_40~49세","2026년07월_남_거주자_50~59세","2026년07월_남_거주자_60~69세","2026년07월_남_거주자_70~79세","2026년07월_남_거주자_80~89세","2026년07월_남_거주자_90~99세","2026년07월_남_거주자_100세 이상","2026년07월_여_거주자_총인구수","2026년07월_여_거주자_연령구간인구수","2026년07월_여_거주자_0~9세","2026년07월_여_거주자_10~19세","2026년07월_여_거주자_20~29세","2026년07월_여_거주자_30~39세","2026년07월_여_거주자_40~49세","2026년07월_여_거주자_50~59세","2026년07월_여_거주자_60~69세","2026년07월_여_거주자_70~79세","2026년07월_여_거주자_80~89세","2026년07월_여_거주자_90~99세","2026년07월_여_거주자_100세 이상"
"서울특별시 강동구 (1174000000)","496,076","496,076","31,451","44,000","53,761","76,753","80,710","74,383","71,312","45,389","15,737","2,506","74","241,428","241,428","16,364","23,324","25,372","37,601","39,951","36,706","33,483","21,044","6,929","641","13","254,648","254,648","15,087","20,676","28,389","39,152","40,759","37,677","37,829","24,345","8,808","1,865","61"
"전남광주통합특별시  (1200000000)","3,149,996","3,149,996","175,822","296,581","318,203","343,860","431,695","536,391","518,207","321,853","174,224","32,407","753","1,574,303","1,574,303","89,808","152,541","171,399","181,098","221,622","277,921","261,654","149,116","61,923","7,126","95","1,575,693","1,575,693","86,014","144,040","146,804","162,762","210,073","258,470","256,553","172,737","112,301","25,281","658"
"전남광주통합특별시 목포시 (1211000000)","198,640","198,640","9,501","20,987","20,148","19,109","29,891","35,637","31,954","20,346","9,690","1,349","28","98,711","98,711","4,847","10,827","10,961","10,078","15,309","18,460","15,288","9,056","3,577","303","5","99,929","99,929","4,654","10,160","9,187","9,031","14,582","17,177","16,666","11,290","6,113","1,046","23"
"전남광주통합특별시 여수시 (1213000000)","259,568","259,568","13,868","23,509","24,074","26,979","34,975","44,863","45,799","29,849","13,412","2,180","60","131,762","131,762","7,132","11,958","13,510","14,792","18,357","23,553","22,940","14,047","5,004","464","5","127,806","127,806","6,736","11,551","10,564","12,187","16,618","21,310","22,859","15,802","8,408","1,716","55"
"전남광주통합특별시 순천시 (1215000000)","273,226","273,226","17,586","27,669","28,841","32,577","38,009","47,062","43,901","23,484","11,542","2,501","54","136,252","136,252","9,072","14,227","15,693","17,049","19,028","23,321","22,035","11,219","4,066","534","8","136,974","136,974","8,514","13,442","13,148","15,528","18,981","23,741","21,866","12,265","7,476","1,967","46"
"전남광주통합특별시 나주시 (1217000000)","116,451","116,451","8,282","10,513","9,705","14,540","16,315","17,139","18,912","12,249","7,367","1,392","37","58,952","58,952","4,265","5,439","5,163","7,372","8,602","9,470","10,016","5,813","2,498","305","9","57,499","57,499","4,017","5,074","4,542","7,168","7,713","7,669","8,896","6,436","4,869","1,087","28"
"전남광주통합특별시 광양시 (1219000000)","155,662","155,662","10,667","15,890","15,515","20,278","22,321","29,233","24,489","11,158","4,970","1,120","21","81,649","81,649","5,447","8,119","8,965","11,293","11,876","15,203","13,273","5,517","1,708","247","1","74,013","74,013","5,220","7,771","6,550","8,985","10,445","14,030","11,216","5,641","3,262","873","20"
"전남광주통합특별시 동구 (1221000000)","104,885","104,885","6,522","7,790","13,352","14,283","13,990","15,210","15,391","11,299","6,089","945","14","51,249","51,249","3,348","3,968","6,680","7,348","7,237","7,673","7,236","4,939","2,529","288","3","53,636","53,636","3,174","3,822","6,672","6,935","6,753","7,537","8,155","6,360","3,560","657","11"
"전남광주통합특별시 서구 (1224000000)","273,487","273,487","14,247","26,271","34,478","34,037","39,668","48,887","40,133","23,292","10,633","1,794","47","133,510","133,510","7,371","13,759","17,710","17,777","19,449","23,616","18,874","10,309","4,151","488","6","139,977","139,977","6,876","12,512","16,768","16,260","20,219","25,271","21,259","12,983","6,482","1,306","41"
"전남광주통합특별시 남구 (1227000000)","204,953","204,953","12,157","22,947","20,692","22,654","31,692","32,428","30,210","20,740","9,774","1,621","38","97,746","97,746","6,165","11,403","10,598","11,418","15,420","15,755","13,661","9,006","3,899","413","8","107,207","107,207","5,992","11,544","10,094","11,236","16,272","16,673","16,549","11,734","5,875","1,208","30"
