"행정구역","2026년01월_거주자 인구수","2026년01월_세대수","2026년01월_세대당 인구","2026년01월_남자 인구수","2026년01월_여자 인구수","2026년01월_남여 비율","2026년02월_거주자 인구수","2026년02월_세대수","2026년02월_세대당 인구","2026년02월_남자 인구수","2026년02월_여자 인구수","2026년02월_남여 비율","2026년03월_거주자 인구수","2026년03월_세대수","2026년03월_세대당 인구","2026년03월_남자 인구수","2026년03월_여자 인구수","2026년03월_남여 비율","2026년04월_거주자 인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율","2026년05월_거주자 인구수","2026년05월_세대수","2026년05월_세대당 인구","2026년05월_남자 인구수","2026년05월_여자 인구수","2026년05월_남여 비율","2026년06월_거주자 인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"서울특별시 강동구 (1174000000)","496,571","220,956","          2.25","241,852","254,719","          0.95","497,345","221,492","          2.25","242,217","255,128","          0.95","497,089","221,664","          2.24","241,991","255,098","          0.95","496,781","221,713","          2.24","241,796","254,985","          0.95","496,406","221,721","          2.24","241,645","254,761","          0.95","496,380","221,770","          2.24","241,572","254,808","          0.95"
"부산광역시  (2600000000)","3,226,530","1,563,790","          2.06","1,567,353","1,659,177","          0.94","3,225,845","1,566,496","          2.06","1,566,926","1,658,919","          0.94","3,224,128","1,569,010","          2.05","1,565,900","1,658,228","          0.94","3,222,336","1,570,001","          2.05","1,564,948","1,657,388","          0.94","3,221,298","1,571,676","          2.05","1,564,300","1,656,998","          0.94","3,219,424","1,572,313","          2.05","1,563,164","1,656,260","          0.94"
"부산광역시 중구 (2611000000)","36,156","22,994","          1.57","17,486","18,670","          0.94","36,109","23,035","          1.57","17,488","18,621","          0.94","36,108","23,098","          1.56","17,474","18,634","          0.94","36,118","23,124","          1.56","17,473","18,645","          0.94","36,099","23,139","          1.56","17,453","18,646","          0.94","36,030","23,137","          1.56","17,440","18,590","          0.94"
"부산광역시 서구 (2614000000)","101,157","52,930","          1.91","48,469","52,688","          0.92","101,092","53,009","          1.91","48,425","52,667","          0.92","100,975","53,047","          1.90","48,335","52,640","          0.92","100,838","53,016","          1.90","48,278","52,560","          0.92","100,843","53,031","          1.90","48,255","52,588","          0.92","100,743","53,037","          1.90","48,179","52,564","          0.92"
"부산광역시 동구 (2617000000)","83,268","45,884","          1.81","40,373","42,895","          0.94","83,060","45,871","          1.81","40,280","42,780","          0.94","83,036","45,872","          1.81","40,269","42,767","          0.94","82,981","45,909","          1.81","40,236","42,745","          0.94","82,940","45,954","          1.80","40,249","42,691","          0.94","82,869","45,978","          1.80","40,242","42,627","          0.94"
"부산광역시 영도구 (2620000000)","100,778","52,773","          1.91","49,362","51,416","          0.96","100,471","52,682","          1.91","49,199","51,272","          0.96","100,267","52,660","          1.90","49,105","51,162","          0.96","100,176","52,707","          1.90","49,074","51,102","          0.96","100,285","52,892","          1.90","49,177","51,108","          0.96","100,111","52,879","          1.89","49,111","51,000","          0.96"
"부산광역시 부산진구 (2623000000)","363,573","187,305","          1.94","173,637","189,936","          0.91","363,593","187,698","          1.94","173,556","190,037","          0.91","363,502","187,984","          1.93","173,437","190,065","          0.91","363,371","188,068","          1.93","173,392","189,979","          0.91","363,320","188,264","          1.93","173,324","189,996","          0.91","363,144","188,252","          1.93","173,239","189,905","          0.91"
"부산광역시 동래구 (2626000000)","272,245","122,034","          2.23","130,959","141,286","          0.93","271,821","122,016","          2.23","130,691","141,130","          0.93","271,239","121,948","          2.22","130,390","140,849","          0.93","270,900","121,903","          2.22","130,218","140,682","          0.93","270,530","121,889","          2.22","130,037","140,493","          0.93","270,200","121,846","          2.22","129,840","140,360","          0.93"
"부산광역시 남구 (2629000000)","250,106","118,325","          2.11","121,267","128,839","          0.94","251,746","119,455","          2.11","122,128","129,618","          0.94","252,761","120,311","          2.10","122,637","130,124","          0.94","252,913","120,492","          2.10","122,719","130,194","          0.94","253,175","120,799","          2.10","122,841","130,334","          0.94","253,413","120,985","          2.09","122,930","130,483","          0.94"
"부산광역시 북구 (2632000000)","261,720","121,305","          2.16","128,152","133,568","          0.96","261,213","121,313","          2.15","127,888","133,325","          0.96","260,766","121,389","          2.15","127,652","133,114","          0.96","260,534","121,478","          2.14","127,545","132,989","          0.96","260,225","121,554","          2.14","127,388","132,837","          0.96","259,973","121,614","          2.14","127,228","132,745","          0.96"
"부산광역시 해운대구 (2635000000)","370,358","168,252","          2.20","177,173","193,185","          0.92","370,139","168,354","          2.20","177,107","193,032","          0.92","369,440","168,413","          2.19","176,775","192,665","          0.92","369,127","168,538","          2.19","176,603","192,524","          0.92","368,909","168,679","          2.19","176,423","192,486","          0.92","368,730","168,799","          2.18","176,265","192,465","          0.92"
"부산광역시 사하구 (2638000000)","284,531","138,680","          2.05","140,881","143,650","          0.98","283,656","138,655","          2.05","140,451","143,205","          0.98","282,958","138,626","          2.04","140,127","142,831","          0.98","282,273","138,535","          2.04","139,767","142,506","          0.98","281,651","138,465","          2.03","139,443","142,208","          0.98","281,189","138,388","          2.03","139,173","142,016","          0.98"
"부산광역시 금정구 (2641000000)","205,254","103,661","          1.98","99,723","105,531","          0.94","205,154","103,892","          1.97","99,662","105,492","          0.94","205,256","104,427","          1.97","99,648","105,608","          0.94","205,096","104,545","          1.96","99,567","105,529","          0.94","205,185","104,799","          1.96","99,566","105,619","          0.94","204,894","104,809","          1.95","99,433","105,461","          0.94"
"부산광역시 강서구 (2644000000)","150,557","65,276","          2.31","77,779","72,778","          1.07","151,594","65,715","          2.31","78,336","73,258","          1.07","152,125","65,933","          2.31","78,606","73,519","          1.07","152,538","66,115","          2.31","78,802","73,736","          1.07","152,882","66,288","          2.31","79,026","73,856","          1.07","153,262","66,445","          2.31","79,188","74,074","          1.07"
"부산광역시 연제구 (2647000000)","211,005","99,813","          2.11","100,478","110,527","          0.91","210,841","99,947","          2.11","100,344","110,497","          0.91","210,764","100,088","          2.11","100,281","110,483","          0.91","210,832","100,214","          2.10","100,291","110,541","          0.91","210,854","100,331","          2.10","100,282","110,572","          0.91","210,806","100,399","          2.10","100,242","110,564","          0.91"
